Year,Temp_Change,Decade,Rolling_10Yr_Avg,YoY_Change,CO2_Proxy_ppm
1970,0.08944417978458989,1970,-1.2190214123976213,-0.3145425451701013,-1.4658942934488486
1971,-0.1664176677713339,1970,-1.2985704679037284,-1.565992316877904,-1.427303019520039
1972,-0.06465658657829329,1970,-1.3161369733219765,0.41350921225925186,-1.3869152175920894
1973,0.22048777961888982,1970,-1.2421374036803337,1.4285657533869887,-1.3448075135224928
1974,-0.09852195526097762,1970,-1.234941353238649,-1.9155262238810333,-1.3010474873729538
1975,0.01973643330571665,1970,-1.1719695740940492,0.5048245126708664,-1.2556953251738878
1976,-0.22659486329743164,1970,-1.2597640343512388,-1.5132391551873636,-1.2088050767937715
1977,0.1714959610604805,1970,-1.1824446994792903,2.0537429125303017,-1.1604256330749598
1978,0.06755716652858326,1970,-1.1179941228805346,-0.7250733164540067,-1.1106014980196688
1979,0.2063600869925435,1970,-1.0954680069060592,0.6185418642073282,-1.0593734082053075
1980,0.19875859569179785,1980,-1.0672112797512343,-0.19183055227744758,-1.006778836231952
1981,0.2133712717481359,1980,-0.9690394846466294,-0.06887149479843752,-0.9528524047137846
1982,0.16613701325600663,1980,-0.9093815545788013,-0.4112044149481809,-0.8976262302731963
1983,0.3706204432477216,1980,-0.8705737022202609,0.9820942502344631,-0.8411302120593062
1984,0.08190637945318972,1980,-0.8239347097076412,-1.747834718614729,-0.7833922757913081
1985,0.029690555095277543,1980,-0.8213616647790357,-0.43877819855123606,-0.7244385817726059
1986,0.1426172328086164,1980,-0.7259238821650252,0.4753126191688064,-0.6642937034400747
1987,0.3551600041425021,1980,-0.678448490100304,1.0267040255821278,-0.6029807816074857
1988,0.488881628003314,1980,-0.5695401612880193,0.5904160546259404,-0.5405216584991172
1989,0.2987787903893952,1980,-0.5456508136277411,-1.202005418190773,-0.4769369948561576
1990,0.5931660107705053,1990,-0.4437002829202537,1.4797264663051433,-0.41224637276939013
1991,0.37490731151615575,1990,-0.40194476729575934,-1.3578527274401477,-0.34646838640024624
1992,0.2787548674399337,1990,-0.3728341330575603,-0.6819745904094411,-0.27962072236498264
1993,0.2615502278376139,1990,-0.401027736728073,-0.24498555219312912,-0.21172023124887174
1994,0.5749818765534382,1990,-0.27357245397636104,1.585140498738652,-0.14278299147056436
1995,0.6090715617232808,1990,-0.12380802549629412,0.03893694315064122,-0.07282436651771858
1996,0.33371396023198013,1990,-0.074411355878944,-1.6739045104885382,-0.0018590564131623266
1997,0.5792066072908036,1990,-0.01649745968705607,1.2090869885833013,0.07009885586148247
1998,0.968478666114333,1990,0.10747377080159988,2.0049295998003824,0.14303586236671134
1999,0.7559969966859984,1990,0.225660288090485,-1.325875920431515,0.21693899210268808
2000,0.6787577671913836,2000,0.24778493549234246,-0.5772868476068228,0.2917957763505668
2001,0.811134942004971,2000,0.3605455904326897,0.5829743087788897,0.3675942170674205
2002,0.9243976801988402,2000,0.5274380597213556,0.4771727690127197,0.44432275799731885
2003,0.8596766777133389,2000,0.6820480053351993,-0.5079964092299797,0.5219702582055911
2004,0.8000568558409279,2000,0.7402277268872323,-0.47976053839434535,0.6005259677810427
2005,0.8814923363711682,2000,0.8106458820468008,0.30100368099090496,0.6799795054829779
2006,0.9007729908864954,2000,0.9572251980217917,-0.0430334688925687,0.760320838137365
2007,1.0215626553438277,2000,1.0715699900731095,0.5188355396307828,0.8415402616099755
2008,0.8026954225352113,2000,1.0287166130342238,-1.3612210604086639,0.9236283832046374
2009,0.9443211474730737,2000,1.0773965982062765,0.6341665496604998,1.006576105352215
2010,1.0750565451532725,2010,1.1798360280630418,0.5738868032394265,1.0903746104711225
2011,0.859963028169014,2010,1.192457619614158,-1.3403329247654114,1.1750153468933389
2012,0.8992337406793703,2010,1.1859529828081057,0.06761477871036145,1.2604900157614136
2013,0.9814755592377796,2010,1.2174368244811054,0.30546689414489814,1.3467905588119835
2014,1.1468296396023199,2010,1.3070742602588565,0.7655068862975554,1.433909146970151
2015,1.338465927920464,2010,1.4251975469837275,0.910983215276952,1.5218381696867906
2016,1.4467229701739852,2010,1.566320375815417,0.4494654214917504,1.6105702249577223
2017,1.2980968309859156,2010,1.63780180564564,-0.9724250938957336,1.7000981099696792
2018,1.3181934548467276,2010,1.771053098505681,-0.0385169448185489,1.7904148123233314
2019,1.4719759734879867,2010,1.9074468058396365,0.7014563954471242,1.8815135017884301
